Idioma,Nombre idioma,Grupo/página,Ruta exacta,ID hallazgo,Prioridad,Clasificación,Error o incoherencia,Valor actual,Valor correcto/esperado,Corrección a realizar,Evidencia,Estado,Fuente
NL,Neerlandés,BIKE,nl/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
NL,Neerlandés,BLOG_50CC_VS_125CC,nl/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
NL,Neerlandés,BLOG_BEGINNER_INLINE,nl/blog/inline-skaten-barcelona-beginners/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
NL,Neerlandés,BLOG_BEST_ROUTES,nl/blog/best-rollerblading-routes-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
NL,Neerlandés,BLOG_BIKE,nl/blog/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
NL,Neerlandés,BLOG_HOURLY_INLINE_RENTAL,nl/blog/inline-skates-huren-barcelona-per-uur/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
NL,Neerlandés,BLOG_INDEX,nl/blog/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
NL,Neerlandés,BLOG_INLINE_SKATES,nl/blog/inline-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
NL,Neerlandés,BLOG_LONGBOARD,nl/blog/longboard/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
NL,Neerlandés,BLOG_ROLLER_SKATES,nl/blog/roller-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
