Idioma,Nombre idioma,Grupo/página,Ruta exacta,ID hallazgo,Prioridad,Clasificación,Error o incoherencia,Valor actual,Valor correcto/esperado,Corrección a realizar,Evidencia,Estado,Fuente
PL,Polaco,BIKE,pl/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_50CC_VS_125CC,pl/blog/50cc-vs-125cc-scooter-rental-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
PL,Polaco,BLOG_BEGINNER_INLINE,pl/blog/jazda-na-rolkach-barcelona-poczatkujacy/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
PL,Polaco,BLOG_BEST_ROUTES,pl/blog/best-rollerblading-routes-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
PL,Polaco,BLOG_BIKE,pl/blog/bike/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_HOURLY_INLINE_RENTAL,pl/blog/wynajem-rolek-na-godziny-barcelona/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
PL,Polaco,BLOG_INDEX,pl/blog/index.html,,,,SIN CORRECCIONES DEMOSTRADAS EXCEPTO IMÁGENES,,,,,SIN ACCIÓN NO-IMAGEN,Auditoría forense
PL,Polaco,BLOG_INLINE_SKATES,pl/blog/inline-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_LONGBOARD,pl/blog/longboard/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_ROLLER_SKATES,pl/blog/roller-skates/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_SCOOTER,pl/blog/scooter/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
PL,Polaco,BLOG_SKATEBOARD,pl/blog/skateboard/index.html,RSB-003,ALTA,E,Existe una API key de Google Maps en cliente; desde el ZIP no puede verificarse que esté restringida.,Clave de Google Maps visible en el HTML cliente.,Restricciones de Website/dominio y API exacta verificadas en Google Cloud.,Verificar en Google Cloud las restricciones de Website/dominio y de API de la clave usada por esta página; no cambiar el HTML basándose solo en la visibilidad de la clave.,El HTML contiene una clave con prefijo AIza. La auditoría clasifica la restricción Cloud como no verificable desde el ZIP.,REQUIERE CONFIRMACIÓN,Auditoría forense + ZIP auditado
